"Source","Add Import","Shift+Ctrl+M","Editing Java Source"
"Refactor - C++","Extract Constant - Refactoring ","Alt+C","C/C++ Editor"
"Window","Maximize Active View or Editor","Ctrl+M","In Windows"
"Run/Debug","Execute","Ctrl+U","In Windows"
"Edit","Incremental Find Reverse","Shift+Ctrl+J","Editing Text"
"Views","Show View (Javadoc)","Shift+Alt+Q J","In Windows"
"Navigate","Quick Hierarchy","Ctrl+T","Editing Java Source"
"Run/Debug","Run OSGi Framework","Shift+Alt+X O","In Windows"
"Edit","Select Next C/C++ Element","Shift+Alt+Right","C/C++ Editor"
"Text Editing","Toggle Overwrite","Insert","Editing Text"
"Run/Debug","Previous Page of Memory","Shift+Ctrl+,","In Table Memory Rendering"
"Text Editing","Collapse","Ctrl+Numpad_Subtract","Editing Text"
"Run/Debug","Debug Java Applet","Shift+Alt+D A","In Windows"
"Run/Debug","Run Ant Build","Shift+Alt+X Q","In Windows"
"Run/Debug","Display","Shift+Ctrl+D","In Dialogs and Windows"
"Refactor - Java","Rename - Refactoring ","Shift+Alt+R","In Windows"
"Search","Declaration in Workspace","Ctrl+G","In Windows"
"Edit","Paste","Ctrl+V","In Dialogs and Windows"
"Source","Toggle Comment","Shift+Ctrl+C","Editing Properties Files"
"Window","Show Contributing Plug-in","Shift+Alt+F3","In Dialogs and Windows"
"Search","Open Search Dialog","Ctrl+H","In Windows"
"File","Close All","Shift+Ctrl+F4","In Windows"
"Navigate","Open Type in Hierarchy","Shift+Ctrl+H","In C/C++ Views"
"Text Editing","Next Word","Ctrl+Right","Editing Text"
"Source","Open Declaration","F3","Editing Ant Buildfiles"
"File","Refresh","F5","In Windows"
"Window","Show Ruler Context Menu","Ctrl+F10","Editing Text"
"C/C++ Source","Toggle Mark Occurrences","Shift+Alt+O","C/C++ Editor"
"Refactor - Java","Change Method Signature","Shift+Alt+C","In Windows"
"Text Editing","Insert Line Above Current Line","Shift+Ctrl+Enter","Editing Text"
"Run/Debug","Force Return","Shift+Alt+F","In Windows"
"Run/Debug","Step Return","F7","Debugging"
"C/C++ Source","Forward","Alt+Right","In Macro Expansion Hover"
"Git","Paste Repository Path or URI","Ctrl+V","In Git Repositories View"
"Text Editing","Text Start","Ctrl+Home","Editing Text"
"Text Editing","Collapse All","Shift+Ctrl+Numpad_Divide","Editing Text"
"Refactor - C++","Extract Function - Refactoring ","Shift+Alt+M","C/C++ Editor"
"Views","Show View (Cheat Sheets)","Shift+Alt+Q H","In Windows"
"C/C++ Source","References","Shift+Ctrl+G","In C/C++ Views"
"Navigate","Open Type Hierarchy","F4","In C/C++ Views"
"Navigate","Open Manifest","Shift+Ctrl+Alt+M","In Windows"
"Run/Debug","Step Over","F6","Debugging"
"Source","Add Block Comment","Shift+Ctrl+/","Editing Java Source"
"Text Editing","Text End","Ctrl+End","Editing Text"
"Window","Activate Editor","F12","In Windows"
"Edit","Find Previous","Shift+Ctrl+K","Editing Text"
"Views","Show View ()","Shift+Alt+Q T","In Windows"
"Run/Debug","Debug JUnit Test","Shift+Alt+D T","In Windows"
"Window","Show View Menu","Ctrl+F10","In Dialogs and Windows"
"Edit","Redo","Shift+Ctrl+Z","In Dialogs and Windows"
"File","Close All","Shift+Ctrl+W","In Windows"
"Window","Show System Menu","Alt+-","In Windows"
"Navigate","Open Call Hierarchy","Ctrl+Alt+H","In Windows"
"Navigate","Go to Line","Ctrl+L","Editing Text"
"Edit","Copy","Ctrl+Insert","In Dialogs and Windows"
"Uncategorized","Copy SHA-1","Ctrl+C","In Git Reflog View"
"Edit","Incremental Find","Ctrl+J","Editing Text"
"Text Editing","Previous Word","Ctrl+Left","Editing Text"
"Manifest Editor Source","Format Source","Shift+Ctrl+F","PDE editor"
"Edit","Select Enclosing Element","Shift+Alt+Up","Editing Java Source"
"Text Editing","Toggle Folding","Ctrl+Numpad_Divide","Editing Text"
"Source","Toggle Comment","Ctrl+/","Editing Java Source"
"Navigate","Collapse All","Shift+Ctrl+Numpad_Divide","In Windows"
"Text Editing","Expand","Ctrl+Numpad_Add","Editing Text"
"Edit","Paste","Shift+Insert","In Dialogs and Windows"
"Views","Show View","Shift+Alt+Q Q","In Windows"
"Edit","Context Information","Shift+Ctrl+Space","In Dialogs and Windows"
"Window","Switch to Editor","Ctrl+E Q","In Windows"
"C/C++ Source","Format","Shift+Ctrl+F","C/C++ Editor"
"Text Editing","Select Previous Word","Shift+Ctrl+Left","Editing Text"
"Views","Show View (Breakpoints)","Shift+Alt+Q B","In Windows"
"Text Editing","Delete to End of Line","Shift+Ctrl+Delete","Editing Text"
"Text Editing","Duplicate Lines","Ctrl+Alt+Up","Editing Text"
"Run/Debug","Step Into","F5","Debugging"
"Text Editing","Scroll Line Down","Ctrl+Down","Editing Text"
"Edit","Toggle Block Selection","Shift+Alt+A","Editing Text"
"Navigate","Quick Outline","Ctrl+O","Editing Java Source"
"Project","Build All","Ctrl+B","In Windows"
"File","New menu","Shift+Alt+N","In Windows"
"Edit","Content Assist","Ctrl+Space","In Dialogs and Windows"
"C/C++ Source","Open Declaration","F3","C/C++ Editor"
"Edit","Shift Left","Shift+Tab","C/C++ Editor"
"Source","Toggle Comment","Ctrl+7","Editing Java Source"
"Window","Next Editor","Ctrl+Tab","In Windows"
"Text Editing","Line End","End","Editing Text"
"Run/Debug","Use Step Filters","Shift+F5","In Windows"
"Navigate","Next Page","Alt+F7","In Windows"
"Run/Debug","Step Into Selection","Ctrl+F5","Debugging"
"Source","Remove Block Comment","Shift+Ctrl+\","Editing Java Source"
"Navigate","Open Type Hierarchy","F4","In Windows"
"Edit","Quick Fix","Ctrl+1","In Dialogs and Windows"
"C/C++ Source","Add Block Comment","Shift+Ctrl+/","C/C++ Editor"
"Text Editing","Move Lines Up","Alt+Up","Editing Text"
"Uncategorized","Add Artifact to Target Platform","Shift+Ctrl+Alt+A","In Windows"
"C/C++ Source","Toggle Source/Header","F2","C/C++ Editor"
"Source","Toggle Mark Occurrences","Shift+Alt+O","Editing Java Source"
"C/C++ Source","Declaration","Ctrl+G","In C/C++ Views"
"C/C++ Source","Open Element","Shift+Ctrl+T","C/C++ Editor"
"Navigate","Expand All","Shift+Ctrl+Numpad_Multiply","In Windows"
"Edit","Select Previous Element","Shift+Alt+Left","Editing Java Source"
"C/C++ Source","Open Declaration","F3","In Macro Expansion Hover"
"Edit","Restore Last Selection","Shift+Alt+Down","Editing Java Source"
"Source","Toggle Comment","Shift+Ctrl+C","Editing Java Source"
"C/C++ Source","Show outline","Ctrl+O","C/C++ Editor"
"Source","Quick Assist - Assign to local variable","Ctrl+2 L","Editing Java Source"
"C/C++ Source","Sort Lines","Ctrl+Alt+S","C/C++ Editor"
"Edit","Select All","Ctrl+A","In Dialogs and Windows"
"Search","Find Text in Workspace","Ctrl+Alt+G","In Windows"
"Navigate","Open Attached Javadoc","Shift+F2","In Windows"
"C/C++ Source","Go to Previous Member","Shift+Ctrl+Up","C/C++ Editor"
"File","Rename","F2","In Windows"
"Run/Debug","Java Breakpoint Properties","Alt+Enter","In Breakpoints View"
"Navigate","Show In Breadcrumb","Shift+Alt+B","Editor Breadcrumb Navigation"
"Run/Debug","Run Eclipse Application","Shift+Alt+X E","In Windows"
"Navigate","Go to Previous Member","Shift+Ctrl+Up","Editing Java Source"
"Git","Copy Path to Clipboard","Ctrl+C","In Git Repositories View"
"Source","Toggle Ant Mark Occurrences","Shift+Alt+O","Editing Ant Buildfiles"
"Navigate","Open Type","Shift+Ctrl+T","In Windows"
"Refactor - C++","Toggle Function - Refactoring ","Shift+Alt+T","C/C++ Editor"
"Window","Show Key Assist","Shift+Ctrl+L","In Dialogs and Windows"
"Edit","Find and Replace","Ctrl+F","In Windows"
"Navigate","Quick Outline","Ctrl+O","PDE editor"
"File","Save","Ctrl+S","In Windows"
"Text Editing","Line Start","Home","Editing Text"
"Text Editing","Insert Line Below Current Line","Shift+Enter","Editing Text"
"Navigate","Go to Matching Bracket","Shift+Ctrl+P","Editing Java Source"
"Edit","Undo","Ctrl+Z","In Dialogs and Windows"
"Navigate","Open Call Hierarchy","Ctrl+Alt+H","In C/C++ Views"
"Views","Show View (Outline)","Shift+Alt+Q O","In Windows"
"Refactor - Java","Inline","Shift+Alt+I","In Windows"
"Views","Show View (Variables)","Shift+Alt+Q V","In Windows"
"Refactor - Java","Move - Refactoring ","Shift+Alt+V","In Windows"
"File","Properties","Alt+Enter","In Windows"
"Window","Toggle Split Editor (Vertical)","Ctrl+E 3","In Windows"
"Window","Previous Perspective","Shift+Ctrl+F8","In Windows"
"Views","Show View (Declaration)","Shift+Alt+Q D","In Windows"
"C/C++ Source","Go to Matching Bracket","Shift+Ctrl+P","C/C++ Editor"
"Git","Commit...","Ctrl+#","In Windows"
"Run/Debug","Debug","F11","In Windows"
"Refactor - Java","Extract Method","Shift+Alt+M","In Windows"
"Navigate","Open Resource","Shift+Ctrl+R","In Windows"
"C/C++ Source","Declaration","Ctrl+G","C/C++ Editor"
"Edit","Find Next","Ctrl+K","Editing Text"
"Navigate","Go to Next Member","Shift+Ctrl+Down","Editing Java Source"
"Navigate","Open Include Browser","Ctrl+Alt+I","In C/C++ Views"
"C/C++ Source","References","Shift+Ctrl+G","C/C++ Editor"
"Text Editing","Select Next Word","Shift+Ctrl+Right","Editing Text"
"Source","Organize Imports","Shift+Ctrl+O","In Windows"
"Navigate","Previous Sub-Tab","Alt+PageUp","In Dialogs and Windows"
"Run/Debug","Close Rendering","Ctrl+W","In Memory View"
"Text Editing","To Upper Case","Shift+Ctrl+X","Editing Text"
"Window","Previous View","Shift+Ctrl+F7","In Windows"
"Edit","Quick Diff Toggle","Shift+Ctrl+Q","Editing Text"
"Navigate","Next Sub-Tab","Alt+PageDown","In Dialogs and Windows"
"Source","Remove Occurrence Annotations","Shift+Alt+U","Editing Java Source"
"Edit","Copy","Ctrl+C","In Dialogs and Windows"
"Text Editing","Reset Structure","Shift+Ctrl+Numpad_Multiply","Editing Text"
"C/C++ Source","Explore Macro Expansion","Ctrl+=","C/C++ Editor"
"Run/Debug","Debug OSGi Framework","Shift+Alt+D O","In Windows"
"Edit","Cut","Shift+Delete","In Dialogs and Windows"
"Run/Debug","Add Memory Block","Ctrl+Alt+M","In Memory View"
"Run/Debug","Next Page of Memory","Shift+Ctrl+.","In Table Memory Rendering"
"File","Print","Ctrl+P","In Windows"
"Run/Debug","Display","Shift+Ctrl+V","In Dialogs and Windows"
"Source","Open External Documentation","Shift+F2","Editing Ant Buildfiles"
"Navigate","Open Call Hierarchy","Ctrl+Alt+H","C/C++ Editor"
"Run/Debug","Run to Line","Ctrl+R","Debugging"
"Window","Next View","Ctrl+F7","In Windows"
"Window","Quick Access","Ctrl+3","In Windows"
"Edit","Select Previous C/C++ Element","Shift+Alt+Left","C/C++ Editor"
"Run/Debug","Go to Address","Ctrl+G","In Table Memory Rendering"
"Edit","Select Enclosing C/C++ Element","Shift+Alt+Up","C/C++ Editor"
"Navigate","Open Structure","Ctrl+F3","Editing Java Source"
"Source","Toggle Comment","Ctrl+7","Editing Properties Files"
"Navigate","Show In...","Shift+Alt+W","In Windows"
"C/C++ Source","Open Declaration","F3","In C/C++ Views"
"Edit","Word Completion","Alt+/","Editing Text"
"Navigate","Open Type Hierarchy","F4","C/C++ Editor"
"Run/Debug","Debug Java Application","Shift+Alt+D J","In Windows"
"Source","Quick Assist - Extract method","Ctrl+2 M","Editing Java Source"
"Spy","Plug-in Selection Spy","Shift+Alt+F1","In Dialogs and Windows"
"Edit","Restore Last C/C++ Selection","Shift+Alt+Down","C/C++ Editor"
"Source","Correct Indentation","Ctrl+I","Editing Java Source"
"Navigate","Open Type in Hierarchy","Shift+Ctrl+H","C/C++ Editor"
"Refactor - C++","Extract Local Variable - Refactoring ","Shift+Alt+L","C/C++ Editor"
"Run/Debug","Resume","F8","Debugging"
"Navigate","Open Type in Hierarchy","Shift+Ctrl+H","In Windows"
"Refactor - C++","Rename - Refactoring ","Shift+Alt+R","C/C++ Editor"
"Window","Previous Editor","Shift+Ctrl+F6","In Windows"
"Text Editing","Delete Next Word","Ctrl+Delete","Editing Text"
"Text Editing","Join Lines","Ctrl+Alt+J","Editing Text"
"Run/Debug","Debug JUnit Plug-in Test","Shift+Alt+D P","In Windows"
"Refactor - C++","Rename - Refactoring ","Shift+Alt+R","In C/C++ Views"
"Window","Toggle Split Editor (Horizontal)","Ctrl+E 2","In Windows"
"C/C++ Source","Explore Macro Expansion","Ctrl+#","C/C++ Editor"
"Run/Debug","Toggle Breakpoint","Shift+Ctrl+B","In Windows"
"Source","Rename In File","Shift+Alt+R","Editing Ant Buildfiles"
"Views","Show View (Package Explorer)","Shift+Alt+Q P","In Windows"
"Views","Show View (Synchronize)","Shift+Alt+Q Y","In Windows"
"Run/Debug","Run Java Application","Shift+Alt+X J","In Windows"
"Navigate","Open Include Browser","Ctrl+Alt+I","C/C++ Editor"
"Run/Debug","Debug Eclipse Application","Shift+Alt+D E","In Windows"
"Navigate","Open Plug-in Artifact","Shift+Ctrl+A","In Windows"
