"Run/Debug","Debug Ant Build","Shift+Alt+D Q","In Windows"
"Source","Correct Indentation","Ctrl+I","Editing Java Source"
"Window","Previous View","Shift+Ctrl+F7","In Windows"
"Refactor - C++","Toggle Function - Refactoring ","Shift+Alt+T","C/C++ Editor"
"Source","Toggle Mark Occurrences","Shift+Alt+O","Editing Java Source"
"File","New menu","Shift+Alt+N","In Windows"
"Edit","Shift Left","Shift+Tab","C/C++ Editor"
"C/C++ Source","Declaration","Ctrl+G","In C/C++ Views"
"C/C++ Source","Go to Next Member","Ctrl+]","C/C++ Editor"
"C/C++ Source","Toggle Mark Occurrences","Shift+Alt+O","C/C++ Editor"
"Run/Debug","Use Step Filters","Shift+F5","In Windows"
"Git","Commit...","Alt+G C","In Windows"
"Source","Quick Assist - Extract method","Ctrl+2 M","Editing Java Source"
"Run/Debug","Force Return","Shift+Alt+F","In Windows"
"Navigate","Next Sub-Tab","Alt+PageDown","In Dialogs and Windows"
"Search","Open Search Dialog","Ctrl+H","In Windows"
"Run/Debug","Display","Shift+Ctrl+D","In Dialogs and Windows"
"Run/Debug","Go to Address","Ctrl+G","In Table Memory Rendering"
"Run/Debug","Toggle Breakpoint","Shift+Ctrl+B","In Windows"
"Edit","Quick Fix","Shift+Enter","In Dialogs and Windows"
"Run/Debug","Debug JUnit Plug-in Test","Shift+Alt+D P","In Windows"
"C/C++ Source","Explore Macro Expansion","Ctrl+#","C/C++ Editor"
"Views","Show View (Error Log)","Shift+Alt+Q L","In Windows"
"Source","Open External Documentation","Shift+F2","Editing Ant Buildfiles"
"Window","Next Editor","Ctrl+Tab","In Windows"
"File","New","Ctrl+N","In Windows"
"Edit","Quick Diff Toggle","Shift+Ctrl+Q","Editing Text"
"Text Editing","Toggle Overwrite","Insert","Editing Text"
"File","Close","Alt+Q","In Windows"
"Run/Debug","Resume","F8","Debugging"
"C/C++ Source","Show outline","Ctrl+O","C/C++ Editor"
"Run/Debug","Run","Ctrl+E B","In Windows"
"Run/Debug","Run OSGi Framework","Shift+Alt+X O","In Windows"
"Manifest Editor Source","Format Source","Shift+Ctrl+F","PDE editor"
"Navigate","Open Type in Hierarchy","Shift+Ctrl+H","In Windows"
"Run/Debug","Run JUnit Plug-in Test","Shift+Alt+X P","In Windows"
"Source","Add Javadoc Comment","Shift+Alt+J","In Windows"
"Edit","Restore Last Selection","Shift+Alt+Down","Editing Java Source"
"Text Editing","To Lower Case","Shift+Ctrl+Y","Editing Text"
"Run/Debug","Step Return","F7","Debugging"
"Text Editing","Join Lines","Ctrl+Alt+J","Editing Text"
"Refactor - C++","Extract Function - Refactoring ","Shift+Alt+M","C/C++ Editor"
"Edit","Delete","Delete","In Windows"
"Text Editing","Move Lines Up","Alt+Up","Editing Text"
"Spy","Plug-in Selection Spy","Shift+Alt+F1","In Dialogs and Windows"
"Run/Debug","Debug Eclipse Application","Shift+Alt+D E","In Windows"
"Text Editing","Insert Line Below Current Line","Ctrl+Enter","Editing Text"
"Source","Open Declaration","F3","Editing Ant Buildfiles"
"Text Editing","Scroll Line Down","Ctrl+Down","Editing Text"
"C/C++ Source","References","Shift+Ctrl+G","In C/C++ Views"
"Edit","Select Next C/C++ Element","Shift+Alt+Right","C/C++ Editor"
"Navigate","Open Include Browser","Ctrl+Alt+I","C/C++ Editor"
"C/C++ Source","Quick Type Hierarchy","Ctrl+T","C/C++ Editor"
"C/C++ Source","Open Declaration","F3","In Macro Expansion Hover"
"Window","Show View Menu","Ctrl+F10","In Dialogs and Windows"
"Run/Debug","Previous Page of Memory","Shift+Ctrl+,","In Table Memory Rendering"
"Text Editing","Toggle Folding","Ctrl+Numpad_Divide","Editing Text"
"Window","Maximize Active View or Editor","Ctrl+M","In Windows"
"Window","Show Key Assist","Shift+Ctrl+L","In Dialogs and Windows"
"Refactor - C++","Extract Constant - Refactoring ","Alt+C","C/C++ Editor"
"File","Print","Ctrl+P","In Windows"
"Navigate","Quick Hierarchy","Ctrl+T","Editing Java Source"
"Refactor - C++","Rename - Refactoring ","Shift+Alt+R","C/C++ Editor"
"Refactor - Java","Extract Method","Shift+Alt+M","In Windows"
"File","Close All","Shift+Ctrl+F4","In Windows"
"Navigate","Collapse All","Shift+Ctrl+Numpad_Divide","In Windows"
"Run/Debug","Close Rendering","Ctrl+W","In Memory View"
"Edit","Incremental Find","Ctrl+J","Editing Text"
"Edit","Toggle Insert Mode","Shift+Ctrl+Insert","Editing Text"
"Source","Toggle Ant Mark Occurrences","Shift+Alt+O","Editing Ant Buildfiles"
"Source","Format","Shift+Ctrl+F","Editing Java Source"
"Text Editing","Select Previous Word","Shift+Ctrl+Left","Editing Text"
"Views","Show View (History)","Shift+Alt+Q Z","In Windows"
"Text Editing","Collapse All","Shift+Ctrl+Numpad_Divide","Editing Text"
"Window","Next View","Ctrl+F7","In Windows"
"Run/Debug","Step Into","F5","Debugging"
"Source","Toggle Comment","Shift+Ctrl+C","Editing Java Source"
"Navigate","Previous Sub-Tab","Alt+PageUp","In Dialogs and Windows"
"File","Close","Ctrl+F4","In Windows"
"Edit","Paste","Shift+Insert","In Dialogs and Windows"
"File","Save","Ctrl+S","In Windows"
"Text Editing","Select Line End","Shift+End","Editing Text"
"Run/Debug","Debug JUnit Test","Shift+Alt+D T","In Windows"
"Run/Debug","New Rendering","Ctrl+N","In Memory View"
"Edit","Undo","Ctrl+Z","In Dialogs and Windows"
"Text Editing","Show Tooltip Description","Shift+F2","Editing Text"
"Navigate","Quick Outline","F8","PDE editor"
"Refactor - C++","Rename - Refactoring ","Shift+Alt+R","In C/C++ Views"
"Edit","Find and Replace","Ctrl+F","In Windows"
"Text Editing","Reset Structure","Shift+Ctrl+Numpad_Multiply","Editing Text"
"Text Editing","Line Start","Home","Editing Text"
"Refactor - Java","Change Method Signature","Shift+Alt+C","In Windows"
"Navigate","Open Plug-in Artifact","Shift+Ctrl+A","In Windows"
"Source","Surround With Quick Menu","Shift+Alt+Z","In Windows"
"Text Editing","Collapse","Ctrl+Numpad_Subtract","Editing Text"
"Edit","Select Previous Element","Shift+Alt+Left","Editing Java Source"
"Navigate","Quick Outline","F8","Editing Java Source"
"Edit","Select Previous C/C++ Element","Shift+Alt+Left","C/C++ Editor"
"C/C++ Source","Format","Shift+Ctrl+F","C/C++ Editor"
"Source","Toggle Comment","Ctrl+/","Editing Properties Files"
"Text Editing","Text Start","Ctrl+Home","Editing Text"
"Source","Organize Imports","Shift+Ctrl+O","In Windows"
"Refactor - Java","Inline","Shift+Alt+I","In Windows"
"Views","Show View (Package Explorer)","Alt+X","In Windows"
"Refactor - Java","Show Refactor Quick Menu","Shift+Alt+T","In Windows"
"Edit","Restore Last C/C++ Selection","Shift+Alt+Down","C/C++ Editor"
"Window","Show Contributing Plug-in","Shift+Alt+F3","In Dialogs and Windows"
"Edit","Word Completion","Alt+/","Editing Text"
"Navigate","Backward History","Alt+Left","In Windows"
"Run/Debug","Run Eclipse Application","Shift+Alt+X E","In Windows"
"Run/Debug","EOF","Ctrl+D","In I/O Console"
"Window","Toggle Split Editor (Horizontal)","Ctrl+E 2","In Windows"
"Views","Show View (Declaration)","Shift+Alt+Q D","In Windows"
"Edit","Copy","Ctrl+Insert","In Dialogs and Windows"
"Git","Show Git Repositories View","Alt+G V","In Windows"
"C/C++ Source","Surround With Quick Menu","Shift+Alt+Z","C/C++ Editor"
"Text Editing","Line End","End","Editing Text"
"C/C++ Source","Add Block Comment","Shift+Ctrl+/","C/C++ Editor"
"C/C++ Source","Indent Line","Ctrl+I","C/C++ Editor"
"Views","Show View (Console)","Alt+C","In Windows"
"Navigate","Next","Ctrl+.","In Windows"
"Run/Debug","Next Page of Memory","Shift+Ctrl+.","In Table Memory Rendering"
"C/C++ Source","Comment/Uncomment","Ctrl+/","C/C++ Editor"
"C/C++ Source","Remove Block Comment","Shift+Ctrl+\","C/C++ Editor"
"Source","Toggle Comment","Ctrl+/","Editing Java Source"
"Navigate","Open Type Hierarchy","F4","In Windows"
"Refactor - Java","Rename - Refactoring ","Shift+Alt+R","In Windows"
"Git","Pull","Alt+G P","In Windows"
"Source","Remove Block Comment","Shift+Ctrl+\","Editing Java Source"
"Navigate","Go to Line","Ctrl+L","Editing Text"
"Edit","Redo","Shift+Ctrl+Z","In Dialogs and Windows"
"Edit","Select All","Ctrl+A","In Dialogs and Windows"
"Run/Debug","Debug OSGi Framework","Shift+Alt+D O","In Windows"
"Edit","Select Next Element","Shift+Alt+Right","Editing Java Source"
"C/C++ Source","Open Element","Shift+Ctrl+T","In C/C++ Views"
"C/C++ Source","Toggle Source/Header","F2","C/C++ Editor"
"Text Editing","Delete Next Word","Ctrl+Delete","Editing Text"
"Edit","Find Previous","Shift+F3","Editing Text"
"Views","Show View (Breakpoints)","Shift+Alt+Q B","In Windows"
"C/C++ Source","Go to Matching Bracket","Shift+Ctrl+P","C/C++ Editor"
"Source","Add Import","Shift+Ctrl+M","Editing Java Source"
"Text Editing","Text End","Ctrl+End","Editing Text"
"Search","Declaration in Workspace","Ctrl+G","In Windows"
"Window","Switch to Editor","Ctrl+E Q","In Windows"
"Navigate","Open Declaration","F3","In Windows"
"Text Editing","Select Line Start","Shift+Home","Editing Text"
"Navigate","Show In Breadcrumb","Shift+Alt+B","Editing Java Source"
"Text Editing","Next Word","Ctrl+Right","Editing Text"
"Navigate","Expand All","Shift+Ctrl+Numpad_Multiply","In Windows"
"C/C++ Source","Organize Includes","Shift+Ctrl+O","C/C++ Editor"
"Edit","Select Enclosing Element","Shift+Alt+Up","Editing Java Source"
"Spy","Plug-in Menu Spy","Shift+Alt+F2","In Dialogs and Windows"
"C/C++ Source","Show Source Quick Menu","Shift+Alt+S","C/C++ Editor"
"Source","Quick Assist - Assign to field","Ctrl+2 F","Editing Java Source"
"Run/Debug","Terminate","Ctrl+F2","Debugging"
"Views","Show View (Synchronize)","Shift+Alt+Q Y","In Windows"
"Views","Show View (Javadoc)","Shift+Alt+Q J","In Windows"
"Uncategorized","Add Artifact to Target Platform","Shift+Ctrl+Alt+A","In Windows"
"Run/Debug","Execute","Ctrl+U","In Windows"
"Run/Debug","Toggle Memory Monitors Pane","Ctrl+T","In Memory View"
"Views","Show View","Shift+Alt+Q Q","In Windows"
"Text Editing","Delete Previous Word","Ctrl+Backspace","Editing Text"
"Window","Toggle Split Editor (Vertical)","Ctrl+E 3","In Windows"
"Navigate","Open Type Hierarchy","F4","In C/C++ Views"
